name,views,description
Begonia semperflorens,1855082048,From a sunny afternoon spent wandering around the Glasshouse at RHS Wisley. I loved the texture and colours of these ðŸŒ¿
Queen's Cup,1116193667,Green plants
Adiantum capillus-veneris,1084151251,selective focus photography of pink petaled flower
undefined,348617817,green-leafed plant
Quince,129583391,California blooming like crazy after months of non-stop rains. Even deserts are covered with juicy bright flowers. The photo was made on Diamond Valley Lake a few days ago.
Petunia,113273196,Succulent center in macro
Wisteria frutescens,113133727,Infinite Ferns
Papaver orientale,95904950,Behind the leaves.
Wisteria,94930359,Still
Malva sylvestris,80353408,low angle of pink flowering tree
Lantana camara,79051483,green and white leafed plants
undefined,72928727,Finding my roots
Verbena,67620428,Looking up
Bamboo palm,62496829,sakura tree in bloom
Zizania aquatica,62382869,Minimal eucalyptus leaves
undefined,59560622,multicolored flower illustration
Gypsophila paniculata,59557285,Green minimalism
Canna Lily,56326308,rubber plant
Zizia aurea,56122029,The beauty of nature
Daffodil,54908220,green leaf plant
Dill,49966865,PALM TREE SHADOW
Balloon Flower,48758027,Floral desktop
Gloriosa Lily,47537766,I took a trip to RHS Wisley this weekend with a friend. Inside the glasshouse butterflies flew around us and whilst everyone tried to capture them flying I had my lens down in the plants!
Ageratum,46942220,Tree-lined alley
Uva Ursi,46507891,Poor mans garden
Zinnia elegans,44673035,pink dahlia flowers in focus photography
Impatiens hawkeri,43376617,Roses are red
Meadow Saffron,42878919,Crocus flowers starting to bloom
Salvia coccinea,42796095,Porcelain teapot on windowsill
Forget-Me-Not,41811150,At the floristâ€™s
Wisteria frutescens,40815090,For our first valentine together my boyfriend gifted me one of the most beautiful roses that Iâ€™ve ever seen. The color was a great match for our wallpaper, which you can see in the background.
Kangaroo Paw,39590003,white rose enclosed photograph
Heliotropium arborescens,37444347,One might not guess it, but this photo is actually from a collection of those flowers for sale at the front of a Loweâ€™s home improvement store.
Always be ready for a shot. You never know where your most seen one will come from next!
Kniphofia ensifolia,35848629,close-up photo of green leaf
Camellia,35025512,I took the shot at home with Sigma 105 mm.
Rosemary,34945702,Enjoy a potted succulent in minimalist form.
Everlasting,34137976,shallow focus photography of white-and-pink petaled flowers
Verbena hastata,33655832,Love this flowers for a sweet smell and rich colors ðŸ’•
Ribbon Grass,33621747,coming alive
Willow,33168473,Pink Tulip & window light
Gentiana lutea,32978853,ðŸŒ± Rubber Tree, another one of my favourite indoor plants.
Lavender,32808840,A sunny day in our SF apartment
Rocket Larkspur,32235243,Has a brief moment of inspiration while in Cap Haitian, Haiti. I was traveling across Haiti with Haiti Design Co. They are a company that empowers Haitian Artisians to create quality Jewelry and Fine Leather Goods.
undefined,31643000,White lilac
Verbena,31326665,Cheese plant leaf in clear glass vase
Eustoma russellianum,29800232,purple petaled flower
Gazania,29289807,close shot of yellow flowers
Cactus,29247274,selective focus photo of pink petaled flower
Adiantum capillus-veneris,28783645,Charming red rose
Uva Ursi,28769966,Japanese plum (ume) blossom
undefined,28490542,White daisy grouping
Ivy gourd,27686991,assorted succulents in clay pots
Zizania aquatica,26813200,Pristine magnolia
Verbena bonariensis,26714973,Ferny Hole
Baby's Breath,26450628,shallow photography of leaves
Thyme,26372253,Taken at daytime, the flower was placed on a piece of glass above me so I could get the clouds in the background. 
Uva Ursi,26353018,closeup photo of green leafed plant
Juncus tenuis,25629504,potted green plant beside wall
Bellis perennis,24915558,i have big interest with plants, the way they grow, their foliageâ€™s unique form. every plant has their uniqueness. This photo is one of my plantâ€™s pattern collection.
Iris,24649023,white-and-pink flowers
Gloriosa Lily,24180333,Lavender flower bed in the evening
undefined,24155059,Ribs
Osteospermum,23839016,Red and blue hydrangea
undefined,22836304,area covered with green leafed plants
Viola cornuta,22410000,pink petaled flowers wallpaper
undefined,22078669,pink petaled flower
undefined,21289973,Replanting small plants
Fuchsia,21158248,sakura
undefined,21141958,Aquatic Jungle
Peace lily,20877833,green cactus plant on brown pot
Zebra Plant,20621169,Leaf with glass water
Wandering Jew,20290198,green leaf plant beside wall
Echinacea,20228219,white flower
Fuchsia hybrida,19983406,I used 5 tiers of glass to create this layered effect and placed cuts of branches in between each layer.
undefined,19908678,green cacti
Hemerocallis lilioasphodelus,19621276,bunch of yellow chrysanthemum flowers
undefined,19450703,Backyard leaves
Callistephus chinensis,19279392,worm's eye view of petaled flowers
Zantedeschia aethiopica,19229736,Some fresh lavender buds that grow wild in my yard. I love the soothing soft purple hues.
Kaffir Lily,18950341,green succulent in teal ceramic vase
Yellow-Eyed Grass,18894133,green leafed plant in glass jar
undefined,18504824,dogwood flower
Paintbrush,17779238,person holding leaf plant
undefined,17214025,Dandelion
Baby Blue Eyes,17205768,palm trees
undefined,16916437,Translucent pink petals
undefined,16839825,Lily pad
Lantana camara,16793692,shallow focus photo of white flowers
Dianthus,16702267,Cactus and Interior love - Please tag my instagram @anotherlovely_ 
Lantana camara,16217299,white petaled flowers during day
Wisteria frutescens,16196142,Basket with pink flowers
undefined,15738584,Pink flower
Acanthus mollis,15578701,Sunflowers reaching towards the clouds
Musa paradisiaca,15452538,Dracaena
Daffodil,15129527,Roses
Snapdragon,15128976,white table with brown wicker chair beside plants
undefined,14729718,Eye-catching flower basket
Windflower,14660901,red flower arrangement on white table
undefined,14620974,æ˜¥å¤©é‡Œ æ¨±èŠ±
Acanthus,14542136,Wildflowers  at Uppark House Garden, Petersfield
